"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
750697,262017,SSH - SPRINGFIELD INC.,1630 EAST PRIMROSE STREET,SPRINGFIELD,MO,65804,GREENE,44180,U,LTCH,2,4,11/01/2022,01/31/2023,43.2,,,1159,666,3660,44,4048,,41,23,128,44,,1159,666,3660,44,4048,,41,23,128,,,,,3032053,3592946,138269,6600654,37283793,,37283793,521106,,3032053,472028,,,,,,6850912,,,1087,111550,6963549,5983,,399276,,,5096590,,,1554083,,37480,-9273544,-755912,682517,2068161,,,,135709,2886387,,,,,,2886387,-3642299,-3642299,-755912,,,,,,,,,37283792,,37283792,30790596,6493196,6624999,-131803,205050,73247,-7603,80850,,,,,
750916,030153,EAST VALLEY ER AND HOSPITAL,5656 S POWER RD,GILBERT,AZ,85295,MARICOPA,38060,U,STH,1,4,10/14/2022,01/31/2023,59.99,,,39,,151,14,1540,,13,,70,14,,39,,151,14,1540,,13,,70,,,,,1400410,3741209,233587,3575513,6682868,12515778,19198646,284551,,1400410,,,,87443,,,2880348,,149219,21722,,3600534,,,,,,6945970,,,6695220,,11775713,11775713,22071467,2227423,99280,99867,,,1003485,10092485,,,,18528937,18528937,28621422,-6549955,-6549955,22071467,,91524,,,,,,,6682868,12515778,19198646,17498782,1699864,5141619,-3441755,3555,-3438200,,-3438200,0.186238,,,,
750947,360090,ST. LUKES HOSPITAL,5901 MONCLOVA ROAD,MAUMEE,OH,43537-,LUCAS,45780,R,STH,1,2,10/01/2022,05/08/2023,765.03,13.14,,3571,328,10173,83,18260,,797,52,2316,83,,3105,293,8498,71,15620,,797,52,2316,565825,,565825,10969737,31468180,79429362,2270991,91146379,88687607,137880935,226568542,9465252,,31468180,,,238124,-88601391,,,817673,,,,,-81853716,8837558,2119617,34177125,1612613,76468,15952791,,,44060910,3013,95928025,95931038,58138232,5612191,1196131,,42424,,1132915,7983661,,,,77404251,77404251,85387912,-27249680,-27249680,58138232,,,7895274,,,,8516631,624027,103907833,125086589,228994422,166115379,62879043,110897542,-48018499,3393512,-44624987,,-44624987,0.402291,9599238,52875456,,
751096,450697,SOUTHWEST GENERAL HOSPITAL,7400 BARLITE BLVD,SAN ANTONIO,TX,78224,BEXAR,41700,U,STH,1,4,10/01/2022,04/30/2023,632.4,53.14,,2952,2080,24539,193,40916,,474,125,4534,209,,2422,518,19177,151,32012,,474,125,4534,7274725,6448735,8277086,8484683,30178795,51445917,4099360,53955049,247659162,118903216,366562378,4951084,,30178795,274500,,,-948212,,,50488388,-25459344,3656125,173905,-28096,27934718,,,51858683,1426323,,9997754,1208098,,56576474,,120081,120081,84631273,29799984,1281425,,71328,,,31152737,,52766255,,41541939,94308194,125460931,-40829658,-40829658,84631273,,,5423929,,525308,0.3874,9623126,732529,247717244,118903215,366620459,300507332,66113127,81435922,-15322795,6006875,-9315920,,-9315920,0.147192,11439217,88018500,452608,4485334
752249,673074,EVEREST REHABILITATION HOSPITAL TEMP,23621 SE HK DODGEN LOOP,TEMPLE,TX,76504,,28660,U,RH,5,6,01/01/2023,02/28/2023,88.15,,,592,,1310,36,2124,,50,,103,36,,592,,1310,36,2124,,50,,103,,,,,1181908,1689102,289179,3586473,4223424,60344,4283768,,,,,,,915818,,,595202,-2506925,63520,23897,,377997,,24898,19438326,,44391,1335706,558577,,16449035,,,524050,17351082,674803,106980,,6484066,,841347,8107196,16894576,319657,,,17214233,25321429,-7970347,-7970347,17351082,,,,,,,,,4223425,60344,4283769,1861248,2422521,2871010,-448489,860,-447629,,-447629,,,,,
752455,523030,REHABILITATION HOSPITAL OF WESTERN W,900 WEST CLAIREMONT AVENUE  8TH FL,EAU CLAIRE,WI,54701-6122,EAU CLAIRE,20740,U,RH,5,5,03/29/2023,06/30/2023,89.78,,,793,,1251,36,3384,,76,,103,36,,793,,1251,36,3384,,76,,103,,,,,1649227,1874988,397122,3162377,3537573,,3537573,237350,,1649227,,,,-6032170,,,2458998,-332822,20752,13170,,-3872072,,,,10308092,,2810622,,,12616078,,8652223,8652223,17396229,145254,437783,,,,199664,782701,,,,10057327,10057327,10840028,6556201,6556201,17396229,,,,,,,,,3537566,,3537566,1534126,2003440,3524215,-1520775,,-1520775,,-1520775,,,,,
752657,363045,EVEREST REHABILITATION HOSPITAL NORT,7810 BETHANY RD,LIBERTY TOWNSHIP,OH,45044,BUTLER,17140,U,RH,5,6,01/01/2023,02/28/2023,54.37,,,432,15,608,36,2124,,41,1,53,36,,432,15,608,36,2124,,41,1,53,,,,,786929,1339796,290888,3399352,1707395,,1707395,,,,,,,466135,,,371835,-252664,60382,12415,272772,930875,,,22603044,,39347,1297083,308354,,22974821,,,602187,24507883,130841,70192,-42,,,498982,699973,21642956,205166,,8390192,30238314,30938287,-6430404,-6430404,24507883,,,,,,,,,1707394,,1707394,908728,798666,2126725,-1328059,1083,-1326976,,-1326976,,,,,
756192,230110,COREWELL HEALTH LUDINGTON HOSPITAL,ONE ATKINSON DRIVE,LUDINGTON,MI,49431,MASON,99923,R,STH,1,2,01/01/2023,06/30/2023,309.08,,,1145,84,3648,39,7059,,258,38,928,39,,890,44,2643,33,5973,,258,38,928,182677,1920055,827604,2333686,18596317,35847577,2640117,48386897,25738666,118925471,144664137,3090728,1117038,18596317,455656,,,10359982,,,25786071,-15867499,2171682,2485680,,25601734,3373079,2525527,22792104,15360846,,38421881,,,45115127,8939356,2114462,11053818,81770679,8073590,,,217838,,,30642120,,,,79386,79386,30721506,51049173,51049173,81770679,,2084806,,,52537,0.1008,2354653,,25263841,120354212,145618053,92211742,53406311,54443893,-1037582,1166634,129052,,129052,0.334477,2983856,20905694,,
756287,110028,UNIVERSITY HEALTH SERVICES  INC.,1350 WALTON WAY,AUGUSTA,GA,30901-2612,RICHMOND,12260,U,STH,1,8,01/01/2023,06/30/2023,2286.19,6.43,,15334,5241,60426,482,86892,,2611,801,11095,482,,13077,4870,45857,259,46529,,2611,801,11095,11938135,14204996,15506937,15506937,87813752,164964235,11175134,229843283,545702379,375417846,921120225,21712193,,87813752,14122900,,,229852148,,,158212955,-96486610,15779300,,8807414,358473876,47820000,8329899,194809252,515355,27165155,95838947,,,346721529,465995511,,465995511,1171190916,51561054,42411146,,19806071,,65177055,178955326,,,,159906746,159906746,338862072,832328844,832328844,1171190916,,28758673,,,579487,0.0806,32304753,161192,495776808,425343412,921120220,701001539,220118681,252777987,-32659306,25486023,-7173283,,-7173283,0.249526,14471270,70317085,,
756523,230078,LAKELAND COMMUNITY HOSP WATERVLIET,400 MEDICAL PARK DRIVE,WATERVLIET,MI,49098,BERRIEN,35660,R,STH,1,2,01/01/2023,06/30/2023,123.1,,,1,1,11,26,4706,,1,1,7,44,,1,1,11,26,4706,,1,1,7,122372,1321355,551241,1775144,10617915,12160682,1333721,20840565,11700512,52758705,64459217,1256188,592756,10617915,76794,,,23884679,,,16356366,-11351355,899308,4255,,30940710,534756,1181674,20728963,2184,3718423,1402980,,,18256248,,2099213,2099213,51296171,4536693,101042,,30256,,,8806984,,,,7171,7171,8814155,42482016,42482016,51296171,,15952,,,479,0.12,,,11700511,57588462,69288973,45550617,23738356,22778597,959759,154907,1114666,,1114666,0.323314,1646949,13978753,,
756525,230093,COREWELL HEALTH BIG RAPIDS,605 OAK STREET,BIG RAPIDS,MI,49307,MECOSTA,99923,R,STH,1,2,01/01/2023,06/30/2023,317.35,,,767,97,3347,49,8869,,223,47,1060,49,,621,41,2449,45,8145,,223,47,1060,235962,2644821,1034744,2248062,15946492,25259049,2061326,36025807,21973147,98329498,120302645,2906466,693793,15946492,212501,,,32639089,,,20495455,-11982648,602797,16540,,42278219,3007043,-319845,9979662,18506552,,37421106,,,35672458,,2680903,2680903,80631580,10728352,-12234,,108836,,,18443126,,,,1214150,1214150,19657276,60974304,60974304,80631580,,1598286,,,47949,0.12,2340943,,20614479,103165053,123779532,79963710,43815822,41205541,2610281,723329,3333610,,3333610,0.29946,3501028,25975406,,
756673,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607-,WATAUGA,99934,R,STH,1,9,10/01/2022,06/30/2023,672.51,12.69,,4588,359,12976,121,28613,,988,108,2973,121,,3794,227,10170,107,24791,,988,108,2973,639393,11504951,3961572,6433031,42372734,101901408,10996772,116331469,102586509,302395563,404982072,8701602,,42372734,8946145,,42897,13295519,31716830,,18692825,,3820898,,1463018,69288932,,,168474079,,,,,,168474079,4949069,99270252,104219321,341982332,6790843,277629,4661,2313269,,4762681,14149083,148409281,,,1104007,149513288,163662371,178319961,178319961,341982332,,,9109299,,189474,0.0832,6227832,493733,102586430,302395638,404982068,273310390,131671678,144274142,-12602464,2948497,-9653967,,-9653967,0.287251,,7883506,,
756679,341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,99934,R,CAH,1,2,10/01/2022,06/30/2023,131.06,,,640,12,1213,23,6279,,93,5,217,23,,305,12,786,23,6279,,93,5,217,109032,2103395,971333,971333,6971186,12864055,1336552,16859911,5615564,35439697,41055261,,,,,,,981232,,,2628562,,651168,,306102,4705168,,,21654323,,,,,,21654323,367635,-17954738,-17587103,8772388,540620,1746,,857771,,115976,1516113,4657028,,,81410,4738438,6254551,2517837,2517837,8772388,,,,,,,,,5994211,37271967,43266178,27296775,15969403,19835241,-3865838,2473263,-1392575,,-1392575,0.410664,374321,862387,,
756911,444032,EAST TENNESSEE BEHAVIORAL HEALTH,1444 OLD WEISGARBER ROAD,KNOXVILLE,TN,37909,KNOX,28940,U,PH,4,4,11/15/2022,06/30/2023,77.44,,,444,114,5769,90,20520,,54,18,927,90,,444,114,5769,90,20520,,54,18,927,,,,,6407256,6706153,2121166,12599548,14612499,27000,14639499,,,,,,,-13995,,,2569080,-917398,207731,138026,8000,1991444,3228099,6688900,19033221,10628826,,2916577,,,40374845,,5948787,5948787,48315076,295354,494254,22316,,,,1005648,,9071897,,,9071897,10077545,38237531,38237531,48315076,,,,,,,,,14793921,27000,14820921,10322370,4498551,13113409,-8614858,816,-8614042,,-8614042,,,,,
757078,530034,SUMMIT MEDICAL CENTER  LLC,6350 E 2ND STREET,CASPER,WY,82609,NATRONA,16220,U,STH,1,4,01/01/2023,06/30/2023,43.63,,,53,11,91,16,2896,,30,4,53,16,,53,11,91,16,2896,,30,4,53,,520926,192152,962985,3841839,10368297,1327312,14105393,2743996,35495780,38239776,991174,,3841839,92924,,,419584,,,12200673,-7776838,705306,,,5548725,,,,412628,3576389,10219445,,,2323422,,48181142,48181142,56053289,7005669,564448,,4497413,,,12067530,,28816957,,,28816957,40884487,15168802,15168802,56053289,,526400,,,,,,,2743996,35495781,38239777,24002286,14237491,14210136,27355,473435,500790,,500790,0.368867,79662,2305695,,
757346,230003,COREWELL HEALTH ZEELAND,100 S PINE STREET,ZEELAND,MI,49464,OTTAWA,24340,U,STH,1,2,01/01/2023,06/30/2023,274.2,,,408,109,3676,55,9955,,132,50,1267,55,,379,71,2857,48,8688,,132,50,1267,268393,2670612,932944,1733743,11114781,32205941,2969250,34814901,29777752,111655598,141433350,2911741,,11114781,30108,,,51754265,,,25950268,-15455422,696793,171549,,63938977,2688530,2318916,11246966,33644790,,26649736,,,36021039,6197856,2779673,8977529,108937545,6218780,,,1315521,,,13965744,,,,10689239,10689239,24654983,84282562,84282562,108937545,,1059432,,,25665,0.0969,2970179,,28127666,113313935,141441601,91836787,49604814,43320722,6284092,1146453,7430545,,7430545,0.246158,2905688,19766780,,
757375,330163,EASTERN NIAGARA HOSPITAL,521 EAST AVENUE,LOCKPORT,NY,14094,NIAGARA,15380,U,STH,1,2,01/01/2023,06/17/2023,250.1,,,256,108,2069,109,18312,,37,5,196,109,,256,108,2069,109,18312,,37,5,196,4939,456615,195869,2524339,8600179,7968078,968885,14210210,4618355,29365713,33984068,2106102,,8600179,1536935,,,2563111,,,971513,,409749,13644,,3979591,276847,1702359,20581280,439674,9830353,20504636,,,2130043,,608585,608585,6718219,8312239,82584,,2309000,,246,10919737,,2970000,2955036,3642087,9567123,20486860,-13768641,-13768641,6718219,,290779,,,39779,0.5472,,,4620856,29363211,33984067,24827205,9156862,16591069,-7434207,9438964,2004757,1069359,935398,0.418143,1462570,9066372,,
757634,030010,CARONDELET ST. MARYS HOSPITAL,1601 W. ST. MARYS ROAD,TUCSON,AZ,85745-,PIMA,46060,R,STH,1,4,10/01/2022,06/30/2023,648.72,,,5720,1779,30889,357,97461,,1187,168,6066,408,,5087,1641,27891,317,86541,,1187,168,6066,1600483,11817707,2646081,5615557,51987977,95207138,5245236,132972625,1138288311,534483804,1672772115,8937299,,51934416,1260633,,,280363,,,113609909,-80265994,7536292,743027,,42815370,7485000,1871531,42083310,683635,,38953336,,,44982244,16238217,15302009,31540226,119337840,7687302,1043258,2469050,2542341,,1279221,15021172,12634886,,,4638670,17273556,32294728,87043112,87043112,119337840,,,16745333,,623345,0.1489,33915055,,965324114,474556254,1439880368,1301294304,138586064,147359468,-8773404,277897,-8495507,,-8495507,0.079492,21848201,303402851,,
757635,030011,CARONDELET ST. JOSEPH HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85732-,PIMA,46060,R,STH,1,4,10/01/2022,06/30/2023,820.36,,,7272,1330,40819,390,106441,,1589,56,8397,425,,6386,1154,32520,325,88696,,1589,56,8397,1718554,15011728,3137955,3137955,63983195,138935777,6088944,176656637,1345134428,718574560,2063708988,10312762,,63871370,4735400,,,716342,,,172588669,-120118556,7071611,765875,,81425340,7040500,735000,43469503,21892,3682121,49011875,,,54840398,,34771489,34771489,171037227,19819065,1225822,3226166,2204120,,9211118,35686291,11805244,,,,11805244,47491535,123545692,123545692,171037227,,,22036105,,652820,0.1185,34212495,,1345134428,718574560,2063708988,1848836579,214872409,202906452,11965957,348717,12314674,,12314674,0.085602,30562968,384288059,,
757885,230230,EDWARD W. SPARROW HOSPITAL,1215 E. MICHIGAN AVE,LANSING,MI,48912-1811,INGHAM,29620,U,STH,1,2,01/01/2023,06/30/2023,4376.38,213.21,,9178,2784,60970,441,78381,,1719,483,11408,556,,6204,1237,38877,272,49232,,1719,483,11408,4299405,11693860,7267648,11951908,220564945,339903641,26094912,404300127,762648870,953534574,1716183444,45422949,,220564945,17682193,28753,3026944,42651710,,,520900674,-379572982,27876633,22892327,385212219,703852266,18289101,11452108,751579819,19980701,37125027,506499549,,84822489,503947895,4221351,143977178,148198529,1355998690,44847442,55837671,-48163,55085864,,32726041,305575309,270069664,1885339,,76467887,348422890,653998199,702000491,702000491,1355998690,,21129002,,,952918,0.1804,40424018,3541876,795431967,1069880514,1865312481,1362662208,502650273,560468586,-57818313,50920228,-6898085,,-6898085,0.235581,44194503,325149546,,
758107,230208,CARSON CITY HOSPITAL,406 EAST ELM STREET,CARSON CITY,MI,48811,MONTCALM,24340,U,STH,1,2,01/01/2023,06/30/2023,188.83,0.62,,165,19,715,48,8688,,58,6,222,48,,165,19,715,48,8688,,58,6,222,277659,699977,518513,2209699,11195152,14195899,1613571,21691082,5086302,58131003,63217305,1875875,708299,11195152,110046,,,222157,,,16431827,-11667187,586383,94437,,5887781,585000,41280,16358365,69670,4350888,10580036,6399907,,15411703,9314203,533842,9848045,31147529,1253692,2907201,,219300,,-782557,33236128,,,,1191258,1191258,34427386,-3279857,-3279857,31147529,,397386,,,3169,0.0319,514514,2299,5115270,62181058,67296328,45329405,21966923,25391051,-3424128,1085565,-2338563,,-2338563,0.343119,1322723,11022922,,
